0 2.65804 0.0871293
1 2.65759 0.0872576
2 2.65704 0.0869588
3 2.65549 0.0868392
4 2.65389 0.0867377
5 2.653 0.0867237
6 2.65201 0.0868875
7 2.64941 0.0870446
8 2.64812 0.0866836
9 2.64806 0.0869976
10 2.64749 0.087021
11 2.64708 0.0873245
12 2.64537 0.0869993
13 2.64355 0.0868826
14 2.64176 0.0867272
15 2.64055 0.0867567
16 2.63916 0.086889
17 2.63849 0.0865328
18 2.63615 0.0866456
19 2.63464 0.0866079
20 2.63322 0.0866755
21 2.63151 0.0867988
22 2.63073 0.086357
23 2.62975 0.086205
24 2.62893 0.0858152
25 2.62772 0.0858478
26 2.62616 0.0856589
27 2.62569 0.085697
28 2.62443 0.0853421
29 2.62264 0.0849687
30 2.62123 0.0845905
31 2.61973 0.0850164
32 2.61905 0.0849456
33 2.61903 0.0849009
34 2.61737 0.0846811
35 2.61651 0.0845967
36 2.61586 0.084275
37 2.61668 0.0842863
38 2.61673 0.0839941
39 2.61528 0.0839908
40 2.61241 0.0841692
41 2.61258 0.0839962
42 2.61128 0.0836784
43 2.61029 0.0840683
44 2.60777 0.0839317
45 2.60575 0.084089
46 2.60538 0.084131
47 2.6032 0.0834273
48 2.60221 0.0831837
49 2.6009 0.0831342
50 2.60137 0.0831299
51 2.60054 0.0833027
52 2.60077 0.0834411
53 2.59942 0.0832746
54 2.59949 0.0834756
55 2.59957 0.0833555
56 2.60086 0.0834372
57 2.60014 0.0834425
58 2.60002 0.0835235
59 2.59932 0.0835642
60 2.59776 0.0834278
61 2.59694 0.0830716
62 2.59648 0.0831532
63 2.59671 0.0831849
64 2.59517 0.0833675
65 2.59343 0.0833627
66 2.59185 0.0834232
67 2.59047 0.0830887
68 2.58989 0.0831332
69 2.58951 0.0831077
70 2.58777 0.0828493
71 2.58805 0.0829209
72 2.58768 0.0827928
73 2.58794 0.0827576
74 2.58813 0.0825983
75 2.58759 0.0824618
76 2.58618 0.0823597
77 2.58531 0.0823487
78 2.585 0.0825005
79 2.58465 0.0822473
80 2.58351 0.0823767
81 2.58306 0.0822447
82 2.58152 0.0819341
83 2.58082 0.0814825
84 2.58043 0.0815015
85 2.57872 0.0815245
86 2.57923 0.0812572
87 2.57784 0.0812928
88 2.57729 0.0812612
89 2.57607 0.0812176
90 2.57605 0.0812632
91 2.5752 0.081282
92 2.57291 0.0809546
93 2.57404 0.0807865
94 2.57309 0.0810537
95 2.57281 0.080976
96 2.5732 0.0810451
97 2.572 0.081027
98 2.57268 0.0813024
99 2.57333 0.0810214
100 2.57003 0.0807156
101 2.57042 0.0805727
102 2.57178 0.0804529
103 2.57162 0.0806677
104 2.57084 0.0806431
105 2.56962 0.0804445
106 2.56981 0.0804123
107 2.56917 0.0800926
108 2.56801 0.0803029
109 2.56738 0.0804581
110 2.56554 0.0803034
111 2.56433 0.0803852
112 2.56283 0.0802259
113 2.56207 0.0802193
114 2.56111 0.0803298
115 2.56177 0.0806772
116 2.56148 0.0808614
117 2.56082 0.080674
118 2.56116 0.0802945
119 2.55944 0.080176
120 2.55972 0.0800278
121 2.55964 0.0801394
122 2.56003 0.0803096
123 2.56063 0.0803033
124 2.56026 0.0802637
125 2.56043 0.0806471
126 2.55891 0.0803547
127 2.55854 0.0800783
128 2.55839 0.0798727
129 2.55819 0.0799478
130 2.55607 0.0798461
131 2.55667 0.0797354
132 2.55591 0.0797539
133 2.55595 0.0800603
134 2.55438 0.0799264
135 2.55354 0.0798901
136 2.55228 0.0795069
137 2.5529 0.0796433
138 2.55276 0.079715
139 2.55413 0.0798615
140 2.55398 0.0800844
141 2.55395 0.080515
142 2.55372 0.0804188
143 2.55343 0.0806202
144 2.55441 0.0806744
145 2.55568 0.0804685
146 2.55685 0.0805343
147 2.55647 0.080546
148 2.55567 0.0804609
149 2.55572 0.0807927
150 2.55417 0.0805083
151 2.55422 0.0805787
152 2.55375 0.0809391
153 2.5546 0.080902
154 2.55415 0.0810592
155 2.55315 0.0809508
156 2.55339 0.0810077
157 2.55369 0.0810439
158 2.55267 0.0810101
159 2.55363 0.0809524
160 2.55331 0.0811456
161 2.55376 0.0809309
162 2.55271 0.0811012
163 2.55255 0.0808668
164 2.55363 0.0814565
165 2.55352 0.0812981
166 2.55333 0.0816746
167 2.55371 0.081709
168 2.55309 0.0813487
169 2.5552 0.0816221
170 2.55531 0.0814803
171 2.55507 0.0812324
172 2.55612 0.0811649
173 2.55561 0.0811451
174 2.55717 0.0808532
175 2.55791 0.0809135
176 2.55867 0.0810949
177 2.55739 0.0813042
178 2.55707 0.0812781
179 2.55822 0.081576
180 2.55841 0.0814965
181 2.55824 0.081324
182 2.55811 0.0812152
183 2.55865 0.0813694
184 2.55835 0.081342
185 2.56031 0.0811272
186 2.56076 0.0813563
187 2.56025 0.0817425
188 2.56016 0.0818487
189 2.5595 0.0816647
190 2.56024 0.081763
191 2.55998 0.0816635
192 2.55935 0.0817121
193 2.55963 0.0818109
194 2.55984 0.0821155
195 2.55874 0.0821527
196 2.55901 0.0822981
197 2.55879 0.0822617
198 2.5586 0.0819577
199 2.55899 0.0818449
200 2.55952 0.0819089
201 2.55895 0.0817745
202 2.55864 0.0815687
203 2.55982 0.0813678
204 2.56018 0.0811104
205 2.56185 0.081
206 2.56333 0.0811803
207 2.56324 0.0811698
208 2.56485 0.0813955
209 2.566 0.0812944
210 2.56613 0.081776
211 2.56582 0.0820149
212 2.5656 0.0818648
213 2.56626 0.0818765
214 2.56688 0.0815022
215 2.56711 0.081649
216 2.56721 0.0818719
